DATE;DEVISE;COURS
03/01/2005;USD;1869,4
04/01/2005;USD;1852
05/01/2005;USD;1810,05
06/01/2005;USD;1796,12
07/01/2005;USD;1790,62
10/01/2005;USD;1806,19
11/01/2005;USD;1815,92
12/01/2005;USD;1836,88
13/01/2005;USD;1847,7
14/01/2005;USD;1853,92
17/01/2005;USD;1851,69
18/01/2005;USD;1851,41
19/01/2005;USD;1850,01
20/01/2005;USD;1850,17
21/01/2005;USD;1840,48
24/01/2005;USD;1832,42
25/01/2005;USD;1836,22
26/01/2005;USD;1858,22
27/01/2005;USD;1854,35
28/01/2005;USD;1865,9
31/01/2005;USD;1870,39
01/02/2005;USD;1885,37
19/06/2006;USD;2175,77
20/06/2006;USD;2174,35
21/06/2006;USD;2177,76
22/06/2006;USD;2175,98
23/06/2006;USD;2183,33
27/06/2006;USD;2183,13
28/06/2006;USD;2182,14
29/06/2006;USD;2183,66
30/06/2006;USD;2167,19
03/07/2006;USD;2166,87
04/07/2006;USD;2170,44
05/07/2006;USD;2169,36
06/07/2006;USD;2169,86
07/07/2006;USD;2167
10/07/2006;USD;2166,12
11/07/2006;USD;2170,71
12/07/2006;USD;2167,12
13/07/2006;USD;2168,43
14/07/2006;USD;2169,68
17/07/2006;USD;2174,39
18/07/2006;USD;2182,1
19/07/2006;USD;2182,63
20/07/2006;USD;2172,4
21/07/2006;USD;2164,28
24/07/2006;USD;2167,4
25/07/2006;USD;2164,33
26/07/2006;USD;2165,44
27/07/2006;USD;2149,31
28/07/2006;USD;2147,84
31/07/2006;USD;2140,2
01/08/2006;USD;2141,81
02/08/2006;USD;2141
03/08/2006;USD;2146,83
04/08/2006;USD;2143,88
07/08/2006;USD;2139,62
08/08/2006;USD;2139,94
09/08/2006;USD;2140,28
10/08/2006;USD;2144,15
11/08/2006;USD;2148,52
16/08/2006;USD;2145,25
17/08/2006;USD;2137,41
18/08/2006;USD;2135,52
21/08/2006;USD;2130,16
22/08/2006;USD;2129,53
23/08/2006;USD;2131,4
24/08/2006;USD;2130,06
25/08/2006;USD;2133,71
28/08/2006;USD;2129,77
29/08/2006;USD;2127,57
30/08/2006;USD;2127,87
31/08/2006;USD;2127,87
01/09/2006;USD;2127,94
04/09/2006;USD;2127,8
05/09/2006;USD;2129,03
06/09/2006;USD;2129,03
07/09/2006;USD;2129,48
08/09/2006;USD;2137,43
11/09/2006;USD;2139,84
12/09/2006;USD;2140,74
13/09/2006;USD;2139,43
14/09/2006;USD;2139,16
15/09/2006;USD;2139,69
18/09/2006;USD;2137,6
19/09/2006;USD;2138,5
20/09/2006;USD;2139,72
21/09/2006;USD;2136,98
22/09/2006;USD;2129,84
25/09/2006;USD;2129,14
26/09/2006;USD;2129,89
27/09/2006;USD;2128,94
28/09/2006;USD;2128,05
29/09/2006;USD;2131,11
02/10/2006;USD;2130,1
03/10/2006;USD;2124,91
04/10/2006;USD;2126,09
05/10/2006;USD;2127,56
06/10/2006;USD;2128,62
09/10/2006;USD;2133,75
10/10/2006;USD;2133,81
11/10/2006;USD;2133,97
12/10/2006;USD;2133,15
13/10/2006;USD;2131,3
16/10/2006;USD;2132,19
17/10/2006;USD;2131,64
18/10/2006;USD;2130,69
19/10/2006;USD;2129,24
20/10/2006;USD;2124,85
23/10/2006;USD;2126,34
24/10/2006;USD;2132,97
25/10/2006;USD;2131,85
26/10/2006;USD;2128,09
27/10/2006;USD;2125,49
30/10/2006;USD;2120,13
02/11/2006;USD;2111,96
03/11/2006;USD;2108,09
06/11/2006;USD;2109,66
07/11/2006;USD;2101,77
08/11/2006;USD;2096,4
09/11/2006;USD;2093,05
10/11/2006;USD;2088,56
13/11/2006;USD;2086
14/11/2006;USD;2085,93
15/11/2006;USD;2084,71
16/11/2006;USD;2083,88
17/11/2006;USD;2085,18
20/11/2006;USD;2078,55
21/11/2006;USD;2080,44
22/11/2006;USD;2078,14
23/11/2006;USD;2073,61
24/11/2006;USD;2069,3
27/11/2006;USD;2062,56
28/11/2006;USD;2056,64
29/11/2006;USD;2045,12
30/11/2006;USD;2043,38
01/12/2006;USD;2034,93
04/12/2006;USD;2026,03
05/12/2006;USD;2021,3
06/12/2006;USD;2021,08
07/12/2006;USD;2017,78
08/12/2006;USD;2018,57
11/12/2006;USD;2023,17
12/12/2006;USD;2019,67
13/12/2006;USD;2021,2
14/12/2006;USD;2023,28
15/12/2006;USD;2026,8
18/12/2006;USD;2030,62
19/12/2006;USD;2029,84
20/12/2006;USD;2024,96
21/12/2006;USD;2026,92
22/12/2006;USD;2028,69
26/12/2006;USD;2030,46
27/12/2006;USD;2028,12
28/12/2006;USD;2027,45
29/12/2006;USD;2013,95
02/01/2007;USD;2004,82
03/01/2007;USD;2001,7
04/01/2007;USD;2003,39
05/01/2007;USD;2004,44
08/01/2007;USD;2010,69
09/01/2007;USD;2013,46
10/01/2007;USD;2022,52
11/01/2007;USD;2025,05
12/01/2007;USD;2036,92
15/01/2007;USD;2048,8
16/01/2007;USD;2052,45
17/01/2007;USD;2058,3
18/01/2007;USD;2057,66
22/01/2007;USD;2056,38
23/01/2007;USD;2055,34
24/01/2007;USD;2051,53
25/01/2007;USD;2053,62
26/01/2007;USD;2054,6
29/01/2007;USD;2051,92
30/01/2007;USD;2049,46
31/01/2007;USD;2047,1
01/02/2007;USD;2042,96
02/02/2007;USD;2038,88
05/02/2007;USD;2042,66
06/02/2007;USD;2041,03
07/02/2007;USD;2036,23
08/02/2007;USD;2028,59
09/02/2007;USD;2028,28
12/02/2007;USD;2027,46
13/02/2007;USD;2027,75
14/02/2007;USD;2018,77
15/02/2007;USD;2009,29
16/02/2007;USD;2010,2
19/02/2007;USD;2010,95
20/02/2007;USD;2009,42
21/02/2007;USD;2010,44
22/02/2007;USD;2012,54
23/02/2007;USD;2012,85
26/02/2007;USD;2008,24
27/02/2007;USD;2006,29
28/02/2007;USD;1999,29
01/03/2007;USD;1996,6
02/03/2007;USD;1995,58
05/03/2007;USD;1991,9
06/03/2007;USD;1994,77
07/03/2007;USD;1989,04
08/03/2007;USD;1991,91
09/03/2007;USD;1990,28
12/03/2007;USD;1986,1
13/03/2007;USD;1983,5
14/03/2007;USD;1979,25
15/03/2007;USD;1975,06
16/03/2007;USD;1964,23
19/03/2007;USD;1963,76
20/03/2007;USD;1966,3
21/03/2007;USD;1962,62
22/03/2007;USD;1953,7
23/03/2007;USD;1954,62
26/03/2007;USD;1956,15
27/03/2007;USD;1955,11
30/03/2007;USD;1951,67
02/04/2007;USD;1944,31
03/04/2007;USD;1940,74
05/04/2007;USD;1932,36
10/04/2007;USD;1921,86
11/04/2007;USD;1912,08
12/04/2007;USD;1900,47
13/04/2007;USD;1880,84
16/04/2007;USD;1863,29
17/04/2007;USD;1855,72
18/04/2007;USD;1850,69
19/04/2007;USD;1851,72
20/04/2007;USD;1850,74
23/04/2007;USD;1853,26
24/04/2007;USD;1852,53
25/04/2007;USD;1845,71
26/04/2007;USD;1840,39
27/04/2007;USD;1835,46
02/05/2007;USD;1829,58
03/05/2007;USD;1822,55
04/05/2007;USD;1823,41
07/05/2007;USD;1822,22
08/05/2007;USD;1823,26
09/05/2007;USD;1825,17
10/05/2007;USD;1829,91
11/05/2007;USD;1835,56
14/05/2007;USD;1837,89
15/05/2007;USD;1836
18/05/2007;USD;1837,6
21/05/2007;USD;1838,24
22/05/2007;USD;1840,37
23/05/2007;USD;1835,9
24/05/2007;USD;1838,35
25/05/2007;USD;1841,46
29/05/2007;USD;1842,35
30/05/2007;USD;1843,66
31/05/2007;USD;1845,54
01/06/2007;USD;1843,12
04/06/2007;USD;1845,17
05/06/2007;USD;1840,43
06/06/2007;USD;1840,7
07/06/2007;USD;1842,35
08/06/2007;USD;1849,54
11/06/2007;USD;1854,58
12/06/2007;USD;1856,41
13/06/2007;USD;1858,78
14/06/2007;USD;1856,52
15/06/2007;USD;1855,53
18/06/2007;USD;1844,28
19/06/2007;USD;1844,98
20/06/2007;USD;1846,23
21/06/2007;USD;1845,48
22/06/2007;USD;1848,17
27/06/2007;USD;1843,4
28/06/2007;USD;1840,04
29/06/2007;USD;1845,16
02/07/2007;USD;1838,66
03/07/2007;USD;1836,66
04/07/2007;USD;1830,51
05/07/2007;USD;1829,22
06/07/2007;USD;1831,98
09/07/2007;USD;1831,31
10/07/2007;USD;1829,85
11/07/2007;USD;1826,36
12/07/2007;USD;1821,76
13/07/2007;USD;1820,23
16/07/2007;USD;1817,97
17/07/2007;USD;1819,92
18/07/2007;USD;1820,56
19/07/2007;USD;1819,31
20/07/2007;USD;1821,07
23/07/2007;USD;1822,13
24/07/2007;USD;1817,47
25/07/2007;USD;1821,95
26/07/2007;USD;1826,11
27/07/2007;USD;1829,42
30/07/2007;USD;1831,41
31/07/2007;USD;1832,6
01/08/2007;USD;1833,82
02/08/2007;USD;1833,47
03/08/2007;USD;1834,91
06/08/2007;USD;1824,16
07/08/2007;USD;1825,28
08/08/2007;USD;1826,64
10/08/2007;USD;1827,49
13/08/2007;USD;1830,19
16/08/2007;USD;1845,62
17/08/2007;USD;1851,42
20/08/2007;USD;1851,03
21/08/2007;USD;1849,38
22/08/2007;USD;1849,77
23/08/2007;USD;1847,07
24/08/2007;USD;1844,54
27/08/2007;USD;1839,18
28/08/2007;USD;1841,48
29/08/2007;USD;1845,09
30/08/2007;USD;1843,14
31/08/2007;USD;1839,9
03/09/2007;USD;1840,36
04/09/2007;USD;1845,36
05/09/2007;USD;1848,76
06/09/2007;USD;1848,41
07/09/2007;USD;1849,76
10/09/2007;USD;1852,13
11/09/2007;USD;1846,69
12/09/2007;USD;1850,76
13/09/2007;USD;1851,32
14/09/2007;USD;1848,14
17/09/2007;USD;1847,64
18/09/2007;USD;1848,15
19/09/2007;USD;1841,69
20/09/2007;USD;1839,57
21/09/2007;USD;1840,41
24/09/2007;USD;1838,54
25/09/2007;USD;1840,81
26/09/2007;USD;1838,21
27/09/2007;USD;1835,27
28/09/2007;USD;1836,13
01/10/2007;USD;1829,42
02/10/2007;USD;1829,25
03/10/2007;USD;1824,79
04/10/2007;USD;1826,11
05/10/2007;USD;1825,21
08/10/2007;USD;1825,68
09/10/2007;USD;1827,57
10/10/2007;USD;1822,18
11/10/2007;USD;1813,86
12/10/2007;USD;1809,72
