DATE;DEVISE;COURS
03/01/2005;EUR;2534,4
04/01/2005;EUR;2497
05/01/2005;EUR;2417,19
06/01/2005;EUR;2378,78
07/01/2005;EUR;2360,93
10/01/2005;EUR;2373,23
11/01/2005;EUR;2381,65
12/01/2005;EUR;2412,75
13/01/2005;EUR;2450,63
14/01/2005;EUR;2458,57
17/01/2005;EUR;2429,71
18/01/2005;EUR;2434,97
19/01/2005;EUR;2427,48
20/01/2005;EUR;2416,6
21/01/2005;EUR;2397,83
24/01/2005;EUR;2393,65
25/01/2005;EUR;2397
26/01/2005;EUR;2422,46
27/01/2005;EUR;2419,2
28/01/2005;EUR;2429,36
31/01/2005;EUR;2452,7
01/02/2005;EUR;2457,53
19/06/2006;EUR;2738,37
20/06/2006;EUR;2736,21
21/06/2006;EUR;2742,62
22/06/2006;EUR;2744,23
23/06/2006;EUR;2739,62
27/06/2006;EUR;2742,84
28/06/2006;EUR;2740,61
29/06/2006;EUR;2733,36
30/06/2006;EUR;2749,55
03/07/2006;EUR;2758,02
04/07/2006;EUR;2763,84
05/07/2006;EUR;2765,92
06/07/2006;EUR;2763,4
07/07/2006;EUR;2764,61
10/07/2006;EUR;2766,16
11/07/2006;EUR;2761,8
12/07/2006;EUR;2761,57
13/07/2006;EUR;2754,88
14/07/2006;EUR;2748,52
17/07/2006;EUR;2742,29
18/07/2006;EUR;2737,77
19/07/2006;EUR;2727,29
20/07/2006;EUR;2731,59
21/07/2006;EUR;2738,33
24/07/2006;EUR;2729,96
25/07/2006;EUR;2731,32
26/07/2006;EUR;2721,46
27/07/2006;EUR;2729,74
28/07/2006;EUR;2723,57
31/07/2006;EUR;2733,06
01/08/2006;EUR;2732,63
02/08/2006;EUR;2737,9
03/08/2006;EUR;2737,41
04/08/2006;EUR;2739,13
07/08/2006;EUR;2746,62
08/08/2006;EUR;2745,47
09/08/2006;EUR;2747,08
10/08/2006;EUR;2749,41
11/08/2006;EUR;2746,99
16/08/2006;EUR;2746,72
17/08/2006;EUR;2744,69
18/08/2006;EUR;2736,49
21/08/2006;EUR;2739,35
22/08/2006;EUR;2736,5
23/08/2006;EUR;2734,12
24/08/2006;EUR;2724,65
25/08/2006;EUR;2722,59
28/08/2006;EUR;2723,06
29/08/2006;EUR;2725,13
30/08/2006;EUR;2727,66
31/08/2006;EUR;2730,55
01/09/2006;EUR;2724,73
04/09/2006;EUR;2728,31
05/09/2006;EUR;2729,35
06/09/2006;EUR;2727,55
07/09/2006;EUR;2726,48
08/09/2006;EUR;2719,73
11/09/2006;EUR;2721,85
12/09/2006;EUR;2720,02
13/09/2006;EUR;2713,87
14/09/2006;EUR;2715,53
15/09/2006;EUR;2715,12
18/09/2006;EUR;2710,46
19/09/2006;EUR;2713,56
20/09/2006;EUR;2710,58
21/09/2006;EUR;2714,42
22/09/2006;EUR;2727,17
25/09/2006;EUR;2720,51
26/09/2006;EUR;2710
27/09/2006;EUR;2703,41
28/09/2006;EUR;2703,4
29/09/2006;EUR;2697,99
02/10/2006;EUR;2697,89
03/10/2006;EUR;2702,8
04/10/2006;EUR;2700,51
05/10/2006;EUR;2702,74
06/10/2006;EUR;2698,19
09/10/2006;EUR;2687
10/10/2006;EUR;2679,91
11/10/2006;EUR;2678,29
12/10/2006;EUR;2672,79
13/10/2006;EUR;2673,56
16/10/2006;EUR;2664,54
17/10/2006;EUR;2671,5
18/10/2006;EUR;2672,61
19/10/2006;EUR;2669,2
20/10/2006;EUR;2677,63
23/10/2006;EUR;2675,36
24/10/2006;EUR;2672,86
25/10/2006;EUR;2673,72
26/10/2006;EUR;2687,05
27/10/2006;EUR;2692,86
30/10/2006;EUR;2692,91
02/11/2006;EUR;2690,63
03/11/2006;EUR;2691,33
06/11/2006;EUR;2675,43
07/11/2006;EUR;2677,51
08/11/2006;EUR;2677,1
09/11/2006;EUR;2671,39
10/11/2006;EUR;2677,74
13/11/2006;EUR;2677,55
14/11/2006;EUR;2672,02
15/11/2006;EUR;2668,18
16/11/2006;EUR;2666,93
17/11/2006;EUR;2661,57
20/11/2006;EUR;2667,66
21/11/2006;EUR;2662,07
22/11/2006;EUR;2669,25
23/11/2006;EUR;2676,58
24/11/2006;EUR;2694,14
27/11/2006;EUR;2693,61
28/11/2006;EUR;2694,73
29/11/2006;EUR;2696,36
30/11/2006;EUR;2693,6
01/12/2006;EUR;2692,29
04/12/2006;EUR;2692,9
05/12/2006;EUR;2692,01
06/12/2006;EUR;2688,72
07/12/2006;EUR;2685,17
08/12/2006;EUR;2679,79
11/12/2006;EUR;2666,81
12/12/2006;EUR;2672,27
13/12/2006;EUR;2677,2
14/12/2006;EUR;2675,11
15/12/2006;EUR;2662,43
18/12/2006;EUR;2657,53
19/12/2006;EUR;2665,13
20/12/2006;EUR;2669,34
21/12/2006;EUR;2666,52
22/12/2006;EUR;2672,66
26/12/2006;EUR;2665,35
27/12/2006;EUR;2665,42
28/12/2006;EUR;2659,78
29/12/2006;EUR;2650,13
02/01/2007;EUR;2652,71
03/01/2007;EUR;2650,22
04/01/2007;EUR;2634,08
05/01/2007;EUR;2624,13
08/01/2007;EUR;2613,51
09/01/2007;EUR;2618,48
10/01/2007;EUR;2621,77
11/01/2007;EUR;2626,32
12/01/2007;EUR;2628,72
15/01/2007;EUR;2639,82
16/01/2007;EUR;2654,87
17/01/2007;EUR;2656,64
18/01/2007;EUR;2659,93
22/01/2007;EUR;2657,66
23/01/2007;EUR;2660,98
24/01/2007;EUR;2660,65
25/01/2007;EUR;2661,88
26/01/2007;EUR;2652,59
29/01/2007;EUR;2649,92
30/01/2007;EUR;2650,9
31/01/2007;EUR;2648,52
01/02/2007;EUR;2657,75
